"time","S","R","P","S2","R2","B","OD","OD_noised","u_S","u_R","k","a_S","b","q0","m","v","u_S2","u_R2","k2","x","v2","S_init","R_init","P_init","S2_init","R2_init"
255,136436329.808919,25.647983485612,351.323149482156,6.78263318591625e-40,1.27466484253228e-46,136436355.456902,0.137,0.138,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
270,194513269.748842,32.4120154005931,1977.63348578632,4.97626092376377e-32,8.30433768594724e-39,194513302.160857,0.196,0.196,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
285,266483489.357809,39.8972654279827,22087.9636374508,5.16880053112762e-25,7.75278903693293e-32,266483529.255074,0.267,0.268,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
300,349720398.865279,47.7397482768878,559946.981597402,6.33813069950925e-19,8.66207299764313e-26,349720446.605027,0.351,0.35,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
315,437829082.787128,55.5232051845367,35307237.2485963,7.65642974611968e-14,9.71042858591742e-21,437829138.310333,0.439,0.438,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
330,344641689.866997,63.6432577752845,3722865482.08821,5.04457407127955e-12,9.31956114889562e-19,344641753.510255,0.346,0.345,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
345,4631110.66536304,85.4168792261844,11257552299.8942,5.349454895917e-14,1.06984159819299e-18,4631196.08224227,0.006,0.005,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
360,21821.5288998832,127.519097818989,11359947631.1507,1.69290599649792e-16,1.22815408418926e-18,21949.0479977022,0.001,0.001,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
375,103.338927481127,192.272999349052,11360432369.7922,5.30398343061998e-19,1.40989325621517e-18,295.611926830178,0.001,0,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
390,0.490226430129359,290.250323801434,11360434666.5102,1.661692178758e-21,1.61852573672237e-18,290.740550231563,0.001,0.001,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
405,0.00232725242643706,438.360512916295,11360434677.4072,5.20605525042037e-24,1.8580311302893e-18,438.362840168722,0.001,0.001,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
420,1.10231286995961e-05,662.26157394722,11360434677.4589,1.6192789969866e-26,2.13297794163617e-18,662.261584970348,0.001,0.002,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
435,1.03843239064418e-07,1000.73456589961,11360434677.4592,1.67145659467746e-28,2.44861068680954e-18,1000.73456600345,0.001,0,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
450,3.45837023257215e-09,1512.3819271554,11360434677.4592,1.31887898567784e-28,2.81094999657147e-18,1512.38192715886,0.001,0.002,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
465,-1.91103682485173e-07,2285.73117143477,11360434677.4592,4.00220069359935e-28,3.22690736444123e-18,2285.73117124366,0.001,0,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
480,-7.30484237123288e-08,3454.47112485806,11360434677.4592,-1.5921772443609e-27,3.70441704372049e-18,3454.47112478501,0.001,0.002,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
495,-3.04591450992924e-10,5220.42427030618,11360434677.4592,-7.76462224208398e-30,4.25258744632301e-18,5220.42427030588,0.001,0.001,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
510,-1.39459109488861e-08,7888.09431527741,11360434677.4592,7.07425117372907e-28,4.8818746995085e-18,7888.09431526346,0.001,0.002,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
525,-1.86081429659445e-07,11916.6431757904,11360434677.4592,5.18650413513994e-27,5.60428231811586e-18,11916.6431756043,0.001,0.002,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
540,-4.03474726029006e-08,17997.9167268718,11360434677.4592,3.10928746563722e-27,6.43359001087915e-18,17997.9167268314,0.001,0,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
555,-1.08072379742185e-10,27173.4064277482,11360434677.4592,1.78139503097998e-28,7.38561664089727e-18,27173.4064277481,0.001,0,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
570,-3.37638377841594e-09,41009.1070050794,11360434677.4592,-7.05833675860585e-28,8.4785217082684e-18,41009.1070050761,0.001,0.001,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
585,-1.04409938648601e-07,61856.4431945888,11360434677.4592,-6.00617373060218e-26,9.73315215769563e-18,61856.4431944844,0.001,0.002,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
600,9.41260048381315e-07,93240.105759016,11360434677.4591,5.25409743423902e-25,1.11734396960804e-17,93240.1057599573,0.001,0.002,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
615,4.94610878896904e-09,140432.251264898,11360434677.4592,1.29406965878238e-27,1.28268574543797e-17,140432.251264903,0.001,0.001,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
630,1.17188800587272e-08,211298.58209935,11360434677.4592,2.97212004255875e-26,1.47249440095038e-17,211298.582099362,0.001,0.002,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
645,2.53664107813028e-08,317536.01394847,11360434677.4592,1.22075426614638e-25,1.69039044818127e-17,317536.013948495,0.001,0.001,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
660,-6.56332565972114e-07,476471.417857935,11360434677.4592,-2.69879729034595e-24,1.94053019813819e-17,476471.417857279,0.001,0.001,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
675,-5.94286140611249e-09,713649.004237975,11360434677.4592,-2.66728031418943e-26,2.22768500769271e-17,713649.004237969,0.002,0.001,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
690,-6.09953035997766e-08,1066504.55105312,11360434677.4592,2.03288489950535e-25,2.55733227404289e-17,1066504.55105306,0.002,0.001,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
705,-2.67451147410455e-07,1589506.46700795,11360434677.4592,1.05737872759562e-24,2.93575992921612e-17,1589506.46700768,0.003,0.003,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
720,-1.45281766411561e-08,2361202.33278105,11360434677.4592,2.91745840840303e-25,3.37018633752372e-17,2361202.33278103,0.003,0.004,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
735,6.48442182931770e-10,3493652.31496605,11360434677.4592,9.82471716761244e-26,3.86889813102172e-17,3493652.31496605,0.004,0.005,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
750,-2.027219912252e-08,5144597.08595264,11360434677.4592,-1.25365156003593e-24,4.44140799064899e-17,5144597.08595262,0.006,0.006,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
765,1.09216135131988e-07,7532515.77092572,11360434677.4592,7.26682226022511e-24,5.098636496874e-17,7532515.77092583,0.009,0.009,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
780,2.86643703063634e-09,10954012.6195625,11360434677.4592,2.6615729171801e-25,5.85312000993655e-17,10954012.6195625,0.012,0.013,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
795,3.59406640306488e-09,15802066.6356163,11360434677.4592,4.15344364905964e-25,6.71925044392166e-17,15802066.6356163,0.017,0.017,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
810,-5.57336158435385e-08,22581787.6063276,11360434677.4592,-7.15695373221336e-24,7.71354826788776e-17,22581787.6063275,0.024,0.024,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
825,8.33412245759794e-08,31918735.1627773,11360434677.4592,1.34583382479985e-23,8.85498137522415e-17,31918735.1627774,0.033,0.033,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
840,-8.09863948019248e-09,44552220.3553173,11360434677.4592,-1.20072554202944e-24,1.01653201542896e-16,44552220.3553173,0.046,0.046,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
855,-1.32117861572664e-09,61304890.4258542,11360434677.4592,-2.61513668969814e-25,1.16695596541638e-16,61304890.4258542,0.062,0.062,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
870,1.30058151518306e-09,83021472.9506049,11360434677.4592,1.86376040366663e-25,1.33963925838508e-16,83021472.9506049,0.084,0.115,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
885,3.72080448924398e-10,110473733.303038,11360434677.4592,6.19519389686131e-26,1.53787569450334e-16,110473733.303038,0.111,0.112,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
900,6.80198501438649e-12,144237470.877466,11360434677.4592,-1.63702834097437e-26,1.76544672150195e-16,144237470.877466,0.145,0.146,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
915,7.23386337509075e-12,184562526.005758,11360434677.4592,9.72243664426625e-27,2.02669314442681e-16,184562526.005758,0.186,0.185,0.0418186967074871,0.0276003398269415,1e+09,3.50625014351681e-11,20,0.1,0.02,0.5,0.0139395655691624,0.00920011327564716,2e+08,1e-04,50,1e+06,1,10,0,0
